Average_MAG_SPS_Hz,798.729
MAG_Time_sec,Mag_X_raw,Mag_Y_raw,Mag_Z_raw
0.745106,-2140,996,-5358
0.746052,-2130,950,-5412
0.747,-2094,934,-5433
0.747948,-2128,1002,-5387
0.748893,-2070,968,-5388
0.749839,-2064,968,-5447
0.750786,-2138,936,-5503
0.751734,-2128,978,-5462
0.752681,-2074,974,-5460
0.753627,-2098,1010,-5403
0.754573,-2078,1020,-5429
0.75552,-2126,984,-5450
0.769727,-2124,990,-5438
0.770671,-2134,972,-5410
0.771619,-2124,950,-5449
0.772566,-2106,966,-5416
0.773514,-2112,982,-5382
0.77446,-2078,982,-5415
0.775406,-2110,990,-5444
0.776353,-2124,1010,-5434
0.7773,-2090,962,-5389
0.778247,-2158,978,-5452
0.779196,-2184,942,-5415
0.780142,-2114,976,-5382
0.781091,-2150,942,-5445
0.782035,-2168,940,-5458
0.782982,-2156,928,-5420
0.78393,-2112,958,-5360
0.784882,-2100,982,-5404
0.785824,-2156,976,-5426
0.786774,-2102,948,-5361
0.787718,-2106,968,-5434
0.788666,-2114,976,-5357
0.789611,-2100,1014,-5413
0.79056,-2168,1000,-5454
0.791507,-2112,936,-5377
0.792454,-2152,966,-5361
0.793401,-2104,988,-5416
0.794348,-2142,958,-5430
0.795295,-2110,996,-5417
0.796242,-2134,990,-5374
0.79719,-2130,972,-5360
0.798138,-2160,976,-5478
0.799084,-2112,986,-5418
0.80003,-2090,1016,-5457
0.800977,-2112,976,-5403
0.801924,-2126,968,-5486
0.802872,-2184,1024,-5393
0.803818,-2166,1002,-5406
0.804766,-2134,962,-5410
0.805713,-2136,946,-5365
0.80666,-2104,980,-5371
0.807608,-2070,954,-5397
0.808554,-2096,972,-5416
0.809501,-2118,940,-5435
0.810448,-2112,966,-5452
0.811395,-2108,980,-5443
0.812343,-2094,978,-5374
0.81329,-2044,970,-5400
0.814236,-2074,1024,-5415
0.815183,-2094,998,-5405
0.816131,-2114,974,-5476
0.817079,-2120,968,-5457
0.818026,-2130,952,-5382
0.818974,-2106,972,-5386
0.819919,-2102,966,-5416
0.820866,-2118,976,-5485
0.821815,-2106,946,-5374
0.822764,-2088,996,-5406
0.823707,-2078,996,-5375
0.824654,-2112,994,-5410
0.8256,-2088,958,-5439
0.826547,-2114,982,-5477
0.827494,-2116,958,-5440
0.828442,-2124,968,-5475
0.829389,-2130,988,-5399
0.830336,-2126,1026,-5495
0.831283,-2122,1004,-5419
0.832231,-2134,986,-5418
0.833176,-2082,994,-5435
0.834123,-2132,950,-5384
0.83507,-2142,1004,-5399
0.836018,-2106,986,-5383
0.836967,-2130,996,-5400
0.837911,-2110,1000,-5368
0.83886,-2122,950,-5431
0.839806,-2108,986,-5388
0.840752,-2166,970,-5388
0.841702,-2126,1000,-5402
0.842647,-2158,986,-5330
0.843593,-2138,1028,-5382
0.844541,-2092,1034,-5395
0.845488,-2108,988,-5347
0.846435,-2130,1002,-5324
0.847382,-2126,996,-5376
0.84833,-2106,1054,-5411
0.84928,-2112,1016,-5329
0.850226,-2160,1062,-5327
0.851175,-2096,988,-5369
0.852119,-2126,1000,-5363
0.853066,-2118,1048,-5398
0.854013,-2134,986,-5353
0.85496,-2170,1008,-5299
0.855907,-2160,1016,-5381
0.856854,-2078,1004,-5377
0.857801,-2126,1010,-5396
0.858748,-2138,1016,-5367
0.859696,-2100,1010,-5427
0.860643,-2112,1036,-5373
0.86159,-2122,996,-5358
0.862537,-2132,1048,-5373
0.8739,-2136,948,-5338
0.874848,-2126,944,-5410
0.875794,-2168,992,-5386
0.876741,-2104,1006,-5339
0.877688,-2106,992,-5336
0.878635,-2118,958,-5359
0.879583,-2118,970,-5314
0.88053,-2150,982,-5376
0.88148,-2092,984,-5453
0.882425,-2132,974,-5486
0.88337,-2130,984,-5392
0.884319,-2084,986,-5377
0.885264,-2128,964,-5451
0.886212,-2136,964,-5369
0.887164,-2122,1018,-5357
0.888106,-2138,908,-5355
0.889052,-2120,956,-5393
0.889999,-2108,950,-5390
0.890946,-2150,984,-5416
0.891894,-2156,980,-5425
0.89284,-2164,970,-5425
0.893787,-2142,974,-5387
0.894733,-2144,974,-5397
0.89568,-2122,956,-5455
0.896627,-2110,962,-5385
0.897574,-2152,998,-5417
0.89852,-2156,1012,-5396
0.899467,-2120,1018,-5422
0.900414,-2144,1026,-5425
0.90136,-2140,1000,-5390
0.902308,-2110,1010,-5343
0.903253,-2166,1008,-5337
0.904202,-2154,950,-5401
0.905149,-2138,990,-5426
0.906093,-2132,976,-5391
0.907044,-2136,1014,-5365
0.907987,-2108,1002,-5378
0.908934,-2158,974,-5426
0.90988,-2134,972,-5406
0.910828,-2142,1022,-5400
0.911776,-2142,1016,-5375
0.912723,-2130,1008,-5372
0.913671,-2112,1018,-5421
0.914619,-2174,1020,-5452
0.915565,-2126,1048,-5424
0.916512,-2172,1036,-5373
0.917461,-2120,1000,-5390
0.918405,-2140,1000,-5403
0.919353,-2150,984,-5399
0.920299,-2164,994,-5383
0.921248,-2124,1006,-5384
0.922193,-2122,1004,-5441
0.92314,-2148,1026,-5417
0.924088,-2158,990,-5406
0.925035,-2152,992,-5353
0.925985,-2180,996,-5391
0.926929,-2174,964,-5433
0.927875,-2118,998,-5455
0.928823,-2156,1032,-5373
0.929769,-2196,986,-5419
0.930717,-2146,1036,-5445
0.931664,-2102,1016,-5388
0.93261,-2160,1004,-5427
